State,percent_move_from_abroad_above_college_degree
Alabama,35.25839967615706
Alaska,47.350427350427346
Arizona,38.55876249764195
Arkansas,40.3794522999821
California,53.778346006325286
Colorado,48.80080909266037
Connecticut,57.92855164774301
Delaware,57.935483870967744
District of Columbia,79.94243098259845
Florida,36.72614599971208
Georgia,41.50125803746156
Hawaii,42.78775659824047
Idaho,43.198736747123846
Illinois,54.127904144951536
Indiana,39.31237097030332
Iowa,62.82863691519482
Kansas,36.057481351469946
Kentucky,35.03351487222454
Louisiana,41.572440029588925
Maine,46.8944099378882
Maryland,52.89552039075307
Massachusetts,50.78300334147923
Michigan,56.9041273499964
Minnesota,47.027836595568864
Mississippi,19.12823506518778
Missouri,51.65962582981292
Montana,53.30920372285419
Nebraska,46.38291237917056
Nevada,29.02121324897655
New Hampshire,75.52760605414623
New Jersey,57.05266578464824
New Mexico,37.13544052527104
New York,48.588429324451056
North Carolina,46.93371022786032
North Dakota,43.7780269058296
Ohio,47.26906094635469
Oklahoma,40.4322823716042
Oregon,56.80553573976316
Pennsylvania,44.82159561673126
Rhode Island,42.88775783552103
South Carolina,47.3489032665299
South Dakota,55.425709515859765
Tennessee,43.048634991929255
Texas,45.01269897522223
Utah,41.25437281359321
Vermont,67.62349799732978
Virginia,52.32694190405692
Washington,55.21495327102804
West Virginia,42.850616719963455
Wisconsin,43.974786800148316
Wyoming,73.27227310574521
Puerto Rico,
